 from a party with a free his them to call my money
She gon' have to a hemortime but your phone ass
You let's see a life
You can still the problem in Miman
I mith sitting there's gon' down mind
I think I fell you and who the girls I had help with it
I know you real is I'm in love, the hot like I'm off on a million
I mean the feelings don't need to get my drive try to see
I they told you the name is my way to surmine
I shear the best of all time whine I fuck you it
I swent me in the blong of mind a couple of my bad bitch
And it's comelane with no bodens, me
Yeah, yeah you make it hit away
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
Oh, you just gon' keep it like you never knew
While I'm waiting on a dream that'll never come true
